Apps,relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,48583332,308027780,77138890,705222200,4750000,9611111,250000,166666.67,7.8333335,165223550,53724424,525.05554,30141.916,21944444,0.69987994,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,73250000,443027780,113583336,1037694460,4944444.5,13777778,222222.22,166666.67,10.569445,233498980,53610396,525.05554,30141.916,25722222,0.75,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,3666666.8,23305556,5638889,49944444,861111.1,833333.3,27777.777,27777.777,15.680555,13013511,13287589,525.05554,30141.916,5638889,1,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,6333333.5,37111110,9027778,83250000,861111.1,1194444.5,27777.777,55555.555,11.625,19171340,13378545,525.05554,30141.916,5888889,0.666,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,10888889,60277776,14638889,139250000,1138888.9,1777777.8,55555.555,55555.555,15.388889,29398936,13232018,525.05554,30141.902,5944444.5,0.7507508,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,17222222,92666664,22500000,217472220,1250000,2611111,55555.555,55555.555,17.180555,43737332,13260889,525.05554,30141.916,6250000,0.6002401,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,25444444,134444450,32638888,318277800,1527777.8,3694444.5,83333.336,55555.555,13.25,62185984,13404890,525.05554,30141.916,6166666.5,0.79951984,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,7944444.5,49750000,11694444,106638890,1722222.2,1666666.6,83333.336,83333.336,19.125,26622280,26613368,525.05554,30141.916,11583333,0.7507508,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,16222222,88305550,19833334,197666670,1750000,2444444.5,83333.336,83333.336,15.319445,40738412,26683038,525.05554,30141.916,11694444,0.7507508,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,29638888,152111100,33305556,348083330,2305555.5,3750000,111111.11,83333.336,15.819445,64210044,26461984,525.05554,30141.916,12083333,0.833,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,48750000,241777780,52222224,559583360,2666666.8,5527778,111111.11,111111.11,25.36111,97030810,26672848,525.05554,30141.902,12611111,0.85763294,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,73277780,357111100,76527780,831555600,3555555.5,7861111,194444.44,111111.11,12.486111,139358000,26590756,525.05554,30141.916,12888889,0.69987994,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
