machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,4371611000.0,6909444600.0,966416640.0,17403832000.0,46361110.0,26777778.0,9777778.0,4361111.0,696152.75,1376774000.0,303037860.0,525.0417,30141.861,1168472200.0,2.0
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,52926890000.0,119392000000.0,47241410000.0,340774000000.0,1388222200.0,1093259300.0,306222200.0,163185180.0,41677784.0,80354796000.0,26958602000.0,63893.406,2105702.8,21214740000.0,0.008661171
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,5009805300.0,7834167000.0,1072333300.0,19723694000.0,49333332.0,28472222.0,10361111.0,5972222.0,738770.3,1458105100.0,311366750.0,525.05554,30141.889,1260416600.0,1.9414048
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,60298445000.0,133636000000.0,53598446000.0,382949000000.0,1374296300.0,1155259300.0,315407400.0,174370370.0,43241976.0,83338910000.0,28040610000.0,66466.555,2105837.2,23041036000.0,0.008097561
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,4740500000.0,7527111000.0,1061416640.0,18963167000.0,54277776.0,30444444.0,11305556.0,6222222.0,783165.25,1534612900.0,336231800.0,525.0417,30141.861,1329444500.0,2.0
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,59721110000.0,134961000000.0,53739410000.0,385227000000.0,1456148100.0,1256666600.0,341851840.0,190666670.0,45838640.0,88323700000.0,29725098000.0,61296.035,2105567.2,23431778000.0,0.00772093
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,5050666500.0,8009916400.0,1127388900.0,20180916000.0,55861110.0,32611112.0,12305556.0,6250000.0,829135.25,1617347700.0,348568640.0,525.05554,30141.902,1375472300.0,2.0553334
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,68035187000.0,150603000000.0,60400370000.0,431263000000.0,1633925900.0,1313555600.0,382962980.0,201481490.0,49634850.0,95704770000.0,34973600000.0,61296.035,2105567.2,25705556000.0,0.007114387
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,5461667000.0,8636389000.0,1207555600.0,21753390000.0,70305550.0,34666668.0,12333333.0,6361111.0,877020.5,1714357800.0,364308600.0,525.0417,30141.861,1280888800.0,2.1666667
quartz,-0.3347834,-0.1641905,0.01260144,-1.2235531,-2.4071097,-1.6116949,-1.2737554,0.9554098,-1.343945,-0.9121579,0.18246894,0.5800683,-0.20770624,0.5383222,0.20040882,60619928000.0,144826000000.0,56761630000.0,409003000000.0,2734370300.0,1627777800.0,397185180.0,213555550.0,52496496.0,101203000000.0,36840817000.0,66466.555,2105837.2,29279111000.0,0.006729912
